key,flag,year,all_previous_processed,acc,sens,spec,digits,highest_ranked,second_human_observer,second_human_acc,second_human_sens,second_human_spec,image_level,short_description,operating_principles,citations,explicit_fov_usage,invalid_ranking,cause_of_invalid_ranking,image_level_consistency_with_fov,image_level_consistency_without_fov,n_image_level,category,n_aggregated_scores,consistency_with_fov_mor,consistency_without_fov_mor,consistency_with_fov_rom,consistency_without_fov_rom,consistency_with_fov,consistency_without_fov,category_agg,category_final,aggregated_adj_acc,aggregated_adj_acc_delta,aggregated_adj_spec,aggregated_adj_spec_delta,aggregated_adj_sens,aggregated_adj_sens_delta,image_level_adj_acc,image_level_adj_acc_delta,image_level_adj_spec,image_level_adj_spec_delta,image_level_adj_sens,image_level_adj_sens_delta,acc_final,spec_final,sens_final
zhou2017,primary,2017.0,yes,0.9469,0.8078,0.9674,4,wang2015,yes,0.9473,0.7759999999999999,0.9725,no,conditional random field,other,33.0,yes,yes,"compares wang2015, human_fov 0.9473",,,,,4.0,1.0,0.0,0.75,0.0,True,False,FoV,FoV,,,,,,,,,,,,,0.9469,0.9674,0.8078
zhu2016,primary,2016.0,yes,0.9607,0.7140000000000001,0.9868,4,wang2015,no,,,,yes,extreme learning machine,"feature extraction, classification",92.0,no mention,yes,"outlier, compares to ricci2007, marin2011",0.0,0.0,20.0,outlier,9.0,0.0,0.8888888888888888,0.0,0.0,False,True,no FoV,outlier,,,,,,,,,,,,,,,
dash2020,primary,2020.0,yes,0.952,0.7559999999999999,0.981,3,budai2013,no,,,,yes,"feature extraction, clustering","filtering, thresholding, morphology, region growing",0.0,no mention,yes,"compares to mendonca2006, budai2013",0.25,0.15,20.0,outlier,1.0,1.0,0.0,1.0,0.0,True,False,FoV,outlier,,,,,,,,,,,,,,,
na2018,primary,2018.0,yes,0.954,0.768,0.97,3,lupascu2010,yes,0.947,0.7759999999999999,0.972,no,superpixel line operator,"filtering, thresholding, morphology, region growing",6.0,no mention,yes,"compares to azzopardi2014, lupascu2010",,,,,1.0,0.0,1.0,0.0,1.0,False,True,no FoV,no FoV,0.9324652579787698,0.0010325572356291723,0.955445058543414,0.0022361263662377673,0.7681422206465317,0.0012612946863032048,,,,,,,0.9324652579787698,0.955445058543414,0.7681422206465317
bharkad2017,primary,2017.0,yes,0.9503,0.7278,0.9718,4,bharkad2017,no,,,,yes,"filtering, thresholding, morphology, region growing","filtering, thresholding, morphology, region growing",3.0,no mention,yes,"all pixels, compares to mendonca2006",0.0,1.0,20.0,no FoV,1.0,0.0,1.0,0.0,1.0,False,True,no FoV,no FoV,0.9283071222624383,0.0009022481782904324,0.9580774811218811,0.0011024169000944939,0.7279169530285693,0.0003557523686529285,0.9283589341698946,0.0007797278148666098,0.957869829191428,0.0008562675301193506,0.727912673709887,0.0003297330590849301,0.9283589341698946,0.957869829191428,0.727912673709887
lupascu2016,primary,2016.0,yes,0.9606,0.7006,0.9857,4,lupascu2016,yes,0.9473,0.7761,0.9725,yes,self organizing maps,other,1.0,no mention,yes,"all pixels, compares to mendonca2006",0.0,0.825,40.0,no FoV,2.0,0.0,1.0,0.0,1.0,False,True,no FoV,no FoV,0.9433471692210627,0.0008401338233763322,0.9791007228879112,0.0009934463713956454,0.7007031951929287,0.0003557523686529285,,,,,,,0.9433471692210627,0.9791007228879112,0.7007031951929287
kumar2020,primary,2020.0,,0.9432,0.7503,0.9717,4,ricci2007,yes,0.9473,0.7759999999999999,0.9725,yes,"filtering, morphology","filtering, thresholding, morphology, region growing",0.0,yes,yes,compares to ricci2007,1.0,0.0,20.0,FoV,1.0,1.0,0.0,0.0,0.0,True,False,FoV,FoV,,,,,,,,,,,,,0.9432,0.9717,0.7503
rahmani2020,primary,2020.0,,0.9521,0.74,0.9726,4,rahmani2020,no,,,,,"filtering, morphology","filtering, thresholding, morphology, region growing",0.0,no mention,yes,compares to marin2011,,,,,1.0,0.0,1.0,0.0,1.0,False,True,no FoV,no FoV,0.9309066900133158,0.0009202709264340414,0.9592544754746873,0.0010631488371515285,0.7400592411953892,0.00041983866106348744,,,,,,,0.9309066900133158,0.9592544754746873,0.7400592411953892
atli2020,primary,2020.0,yes,0.9689,0.7987,0.9854,4,wang2015,yes,0.9637,0.7757,0.9812,no,deep learning,deep learning,3.0,no mention,yes,compares to liskowski2016,,,,,2.0,0.0,0.5,0.0,0.5,False,False,outlier,outlier,,,,,,,,,,,,,,,
narkthewan2019,primary,2019.0,yes,0.9617,0.6392,0.992,4,,no,,,,yes,morphology,"filtering, thresholding, morphology, region growing",2.0,no mention,yes,compares to azzopardi2014,0.0,0.05,20.0,outlier,1.0,0.0,1.0,0.0,0.0,False,True,no FoV,outlier,,,,,,,,,,,,,,,
