key,flag,year,all_previous_processed,acc,sens,spec,digits,highest_ranked,second_human_observer,second_human_acc,second_human_sens,second_human_spec,image_level,short_description,operating_principles,citations,explicit_fov_usage,invalid_ranking,cause_of_invalid_ranking,image_level_consistency_with_fov,image_level_consistency_without_fov,n_image_level,category,n_aggregated_scores,consistency_with_fov_mor,consistency_without_fov_mor,consistency_with_fov_rom,consistency_without_fov_rom,consistency_with_fov,consistency_without_fov,category_agg,category_final,aggregated_adj_acc,aggregated_adj_acc_delta,aggregated_adj_spec,aggregated_adj_spec_delta,aggregated_adj_sens,aggregated_adj_sens_delta,image_level_adj_acc,image_level_adj_acc_delta,image_level_adj_spec,image_level_adj_spec_delta,image_level_adj_sens,image_level_adj_sens_delta,acc_final,spec_final,sens_final
pan2019,primary,2019.0,yes,0.965,0.815,0.9808,4,liang2019,no,,,,no,deep learning u-net,deep learning,12.0,no mention,yes,"all pixels, compares to zhou2017",,,,,1.0,0.0,1.0,0.0,0.0,False,True,no FoV,no FoV,0.9504680260184606,0.0016896403441903352,0.971386908552317,0.0007292638241593319,0.8151440981077445,0.00033894653646177053,,,,,,,0.9504680260184606,0.971386908552317,0.8151440981077445
panda2016,primary,2016.0,yes,0.9539,0.7328,0.9752,4,lupascu2010,yes,0.947,0.7736,0.9725,no,centerline extraction and region growing,"filtering, thresholding, morphology, region growing",32.0,no,yes,"compares mendonca2006, ricci2007",,,,,4.0,0.0,1.0,0.0,0.5,False,True,no FoV,no FoV,0.9335587269410504,0.0008856041432718786,0.9628781124875336,0.0014152275367705358,0.7328885311446218,0.0003854812746846292,,,,,,,0.9335587269410504,0.9628781124875336,0.7328885311446218
pandey2016,primary,2016.0,yes,0.9623,0.8106,0.9761,4,pandey2016,no,,,,no,"denoising, line filtering, thresholding","filtering, thresholding, morphology, region growing",24.0,no mention,yes,"compares to azzopardi2014, ricci2007",,,,,1.0,0.0,1.0,0.0,0.0,False,True,no FoV,no FoV,0.945764669880508,0.0007398639985457534,0.9642514579688577,0.001395573650898707,0.8106890606405521,0.000426359796426079,,,,,,,0.945764669880508,0.9642514579688577,0.8106890606405521
park2020,primary,2020.0,yes,0.9706,0.8346,0.9836,4,park2020,no,,,,no,generative adversarial network,deep learning,2.0,no mention,yes,compares to odstrcilik2013,,,,,1.0,0.0,1.0,0.0,1.0,False,True,no FoV,no FoV,0.9578216554351082,0.0008354428537734049,0.975695185050411,0.0012318506101192672,0.8346656467603503,0.00046087470856936985,,,,,,,0.9578216554351082,0.975695185050411,0.8346656467603503
rahebi2014,primary,2014.0,yes,0.9461,0.7365,0.9707,4,villalobos-castaldi2010,no,,,,yes,feature extraction and neural networks,"feature extraction, classification",38.0,no mention,yes,"compares marin2011, lupascu2010, ricci2007",0.05,0.0,20.0,outlier,1.0,0.0,0.0,0.0,0.0,False,False,outlier,outlier,,,,,,,,,,,,,,,
rezaee2017,primary,2017.0,yes,0.9463,0.7189,0.9793,4,ricci2007,yes,0.9473,0.7761,0.9725,no,"adaptive filtering, skeletonization","filtering, thresholding, morphology, region growing",34.0,no mention,yes,compares mendonca2006 to ricci2007,,,,,1.0,1.0,0.0,1.0,0.0,True,False,FoV,FoV,,,,,,,,,,,,,0.9463,0.9793,0.7189
ricci2007,primary,2007.0,yes,0.9595,0.7283,0.9832,4,ricci2007,yes,0.9473,,,some,line detector and svm,"feature extraction, classification",769.0,yes,yes,compares to mendonca2006,0.0,0.5,2.0,outlier,1.0,0.0,1.0,0.0,0.0,False,True,no FoV,outlier,,,,,,,,,,,,,,,
roychowdhury2015,primary,2015.0,yes,0.9494,0.7395,0.9782,4,ricci2007,no,,,,no,iterative region growing,"filtering, thresholding, morphology, region growing",153.0,no mention,yes,compares mendonca2006 to ricci2007,,,,,1.0,1.0,0.0,0.0,0.0,True,False,FoV,FoV,,,,,,,,,,,,,0.9494,0.9782,0.7395
salazar-gonzalez2014,primary,2014.0,yes,0.9412,0.7512,0.9684,4,ricci2007,yes,0.9473,0.7761,0.9725,no,graph cut,other,222.0,yes,yes,compares to ricci2007,,,,,1.0,1.0,0.0,0.0,0.0,True,False,FoV,FoV,,,,,,,,,,,,,0.9412,0.9684,0.7512
saleh2011,primary,2011.0,yes,0.963,0.8423,0.9658,4,saleh2011,yes,0.9473,0.7761,0.9725,no,automatic threshold selection,"filtering, thresholding, morphology, region growing",68.0,no mention,yes,"outlier, compares to mendonca2006, human_fov 0.9473",,,,,2.0,0.5,0.5,0.0,0.0,False,False,outlier,outlier,,,,,,,,,,,,,,,
